track_id,track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,umur,calm,energic,sad,happy,angry
3BuFzaaIPQHAFqPubPzcIO,Saints,Echos,0.512,0.477,2,-9.912,0,0.0311,0.026,4.84e-05,0.11,0.174,120.04,240775,4,dewasa,0,0,0,0,0
0Lu9pdU9sOqI2jFwxfztCb,Alone,Nico Collins,0.525,0.785,2,-2.407,0,0.0455,0.0356,0.0,0.103,0.47,170.116,234001,4,dewasa,0,1,0,1,1
3VOtbMheyBb7EoIGq8vcl7,Can You Keep a Secret?,Ellise,0.734,0.316,9,-11.003,0,0.11,0.057,0.0,0.139,0.381,160.098,158250,4,dewasa,0,1,0,1,0
1WdFhTlwk7J51eh39aN9z8,Who Am I,Besomorph,0.584,0.534,7,-6.172,1,0.0426,0.274,0.0,0.248,0.194,116.151,195517,3,dewasa,0,0,0,0,0
6MyFzWJv92xEZV3xt3us2D,STFD,TeZATalks,0.644,0.86,8,-3.966,0,0.0745,0.135,0.0,0.099,0.477,122.994,226341,4,dewasa,0,0,0,0,1
5EB8VcvjvNC8YSw3fZb7eP,Devil on My Shoulder,Faith Marie,0.402,0.425,11,-6.987,0,0.0417,0.269,4.96e-06,0.0666,0.316,145.048,278169,4,dewasa,0,0,0,1,0
4rkHlyzSXB9wOS7AD1Vt8P,Smoke and Mirrors,Jayn,0.594,0.58,2,-7.449,0,0.0268,0.0916,0.000633,0.103,0.287,99.687,282283,4,dewasa,0,0,0,0,0
7lmNjPFqxi6EXFUXjXK1Aq,Bad Word,Panicland,0.744,0.889,2,-4.293,0,0.087,0.0244,0.0,0.0769,0.934,128.027,179995,4,dewasa,0,0,0,0,1
32TXoSo4OE7db1yb8V11sp,NVM,Faith Marie,0.583,0.928,2,-4.981,0,0.0977,0.0887,0.0,0.315,0.327,119.961,216646,4,dewasa,0,0,0,0,1
4ZlAB5Ki4A5KgHuGNriWNg,Silent Scream,Anna Blue,0.552,0.581,9,-6.521,1,0.0315,0.0961,6.31e-06,0.0978,0.0703,81.987,220000,4,dewasa,1,0,0,0,0
0sZIYfLTAKNvGBtN01897a,hey little girl (live),sophiemarie.b,0.52,0.195,6,-11.05,0,0.0513,0.919,0.0132,0.145,0.193,79.945,212096,4,dewasa,1,0,1,0,0
11z8f8BH1WdIlFI9TNQ9mc,Bad Girlfriend,Anne-Marie,0.75,0.698,2,-4.943,1,0.0555,0.189,0.0,0.262,0.602,143.983,206187,4,dewasa,0,0,0,1,1
6uIRaU6EFvhAjYm7spHVeA,Pretty's on the Inside,Chloe Adams,0.567,0.539,3,-7.399,1,0.0462,0.722,0.0,0.0768,0.406,80.005,258250,4,dewasa,1,0,1,0,0
22ER9pbQ4w470ZbuAOM5y8,HARLEY FVCKING QUINN,Sarah de Warren,0.629,0.962,9,-2.024,0,0.0534,0.131,7.12e-06,0.292,0.605,130.989,180458,4,dewasa,0,0,0,0,1
04OzTY1aR3ddOvyzHORSIh,Guys Dont Like Me,It Boys!,0.572,0.663,8,-7.316,1,0.105,0.024,1.52e-06,0.371,0.624,140.014,172733,4,dewasa,0,0,0,0,0
